Index,Address,Lat,Lon
280,George Mason Dr & Wilson Blvd,38.8782306,-77.1209445
281,Georgetown Harbor / 30th St NW,38.9029371,-77.0585492
282,Georgia & Missouri Ave NW,38.9613103,-77.0280061
283,Georgia & New Hampshire Ave NW,38.9364085,-77.0243003
284,Georgia Ave & Emerson St NW,38.9497342,-77.0271353
285,Georgia Ave & Piney Branch Rd NW,38.9675903,-77.0274725
286,Georgia Ave & Spring St,38.9995586,-77.0318329
287,Georgia Ave and Fairmont St NW,38.925162,-77.022664
288,Glebe Rd & 11th St N,38.8836356,-77.1164088
289,Good Hope & Naylor Rd SE,38.8606583,-76.968779
290,Good Hope Rd & 14th St SE,38.866775,-76.985128
291,Good Hope Rd & MLK Ave SE,38.8674403,-76.9886086
292,Grandview & Blueridge Ave,39.0430789,-77.053167
293,Greensboro & International Dr,38.9234934,-77.2263678
294,Hains Point/Buckeye & Ohio Dr SW,38.8792826,-77.0314297
295,Hamlin & 7th St NE,38.9274283,-76.996177
296,Harvard St & Adams Mill Rd NW,38.9280355,-77.0434081
297,Henry Bacon Dr & Lincoln Memorial Circle NW,38.8901667,-77.049611
298,Henry St & Pendleton St,38.8112911,-77.0501472
299,Idaho Ave & Newark St NW [on 2nd District patio],38.935105,-77.073975
300,Independence Ave & L'Enfant Plaza SW/DOE,38.8871362,-77.0258761
301,Iwo Jima Memorial/N Meade & 14th St N,38.8904365,-77.0697213
302,Jefferson Dr & 14th St SW,38.8886121,-77.0319526
303,Jefferson Memorial,38.8813959,-77.0364569
304,John McCormack Dr & Michigan Ave NE,38.9335106,-76.9953337
305,Jones Branch & Westbranch Dr,38.9314144,-77.2206997
306,Kennebec St & 11th St N,38.8812016,-77.1351326
307,Kennedy Center,38.8958996,-77.0549924
308,Key Blvd & N Quinn St,38.8960451,-77.0784652
309,Key West Ave & Siesta Key Way,39.1053747,-77.1960029
310,King Farm Blvd & Piccard Dr,39.110375,-77.182505
311,King Farm Blvd & Pleasant Dr,39.1142634,-77.1719771
